dataset,run,seed,checkpoint,epoch,readout,eta,samples,nonzero_samples,acc7,mae,acc2non0,f1non0
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,0.6,4659,3634,56.170852114187596,0.49161281347904756,87.2041827187672,86.34611165854007
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,0.8,4659,3634,55.99914144666237,0.49151696799314765,87.2317006053935,86.41698437616805
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,0.9,4659,3634,55.93474994634042,0.4921918628427939,87.17666483214089,86.3893818396924
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,1.0,4659,3634,56.12792444730629,0.49343394619968634,87.14914694551459,86.38485603469336
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,0.0,4659,3634,54.71131144022323,0.5032207640883418,86.92900385250412,85.97236731488039
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,0.2,4659,3634,55.355226443442795,0.497397009314938,87.03907539900936,86.11603013533353
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,0.4,4659,3634,55.720111611933895,0.4935271846293207,87.06659328563566,86.16434552213683
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,0.6,4659,3634,56.170852114187596,0.49161281347904756,87.2041827187672,86.34611165854007
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,0.8,4659,3634,55.99914144666237,0.49151696799314765,87.2317006053935,86.41698437616805
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,0.9,4659,3634,55.93474994634042,0.4921918628427939,87.17666483214089,86.3893818396924
CMU-MOSEI,equal_weight,40,best_mae_model,6,expected,1.0,4659,3634,56.12792444730629,0.49343394619968634,87.14914694551459,86.38485603469336
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,0.0,4659,3634,54.32496243829148,0.5080095903568544,87.83709411117226,86.742940338494
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,0.2,4659,3634,54.818630607426485,0.5036973563425717,87.72702256466704,86.70842518238598
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,0.4,4659,3634,55.39815411032411,0.5018457980387048,87.6169510181618,86.66699931904103
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,0.6,4659,3634,55.87035844601846,0.5024049605575512,87.64446890478811,86.75241685947388
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,0.8,4659,3634,55.46254561064606,0.5053107643148,87.67198679141443,86.85108385968347
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,0.9,4659,3634,55.20497960935823,0.5075434853829569,87.6169510181618,86.8192398957984
CMU-MOSEI,no_gate,40,best_acc7_model,4,expected,1.0,4659,3634,55.18351577591758,0.51044258942784,87.5894331315355,86.81072923992379
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,0.0,4659,3634,55.269371109680186,0.501377391638716,87.2317006053935,86.4477965099083
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,0.2,4659,3634,55.44108177720541,0.499127733254825,86.92900385250412,86.15544099630456
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,0.4,4659,3634,55.119124275595624,0.4987937293611015,86.68134287286736,85.94459270823445
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,0.6,4659,3634,55.24790727623954,0.5001980696558348,86.54375343973582,85.81627499964681
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,0.8,4659,3634,55.05473277527366,0.5034706874522772,86.62630709961475,85.92349871024942
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,0.9,4659,3634,54.92594977462975,0.5059147277753681,86.46119977985691,85.75707084756489
